Component Name;Component Type;Use;Option 1;Link 1;JLC #;Option 2;Link 2;Spec
DAC;Digital-to-Analog Converter;Signal Generation;LTC2642IMS-12#PBF;https://ro.mouser.com/ProductDetail/Analog-Devices/LTC2642IMS-12PBF?qs=hVkxg5c3xu%2FRHnABAf4DOg%3D%3D;C580595;AD5512AACPZ;https://ro.mouser.com/ProductDetail/Analog-Devices/AD5512AACPZ-REEL7?qs=NmRFExCfTkH4RrvEIUo0Ug%3D%3D;"50-100 MSPS via SPI; 12-bit resolution; SNR > 60 dB; THD < -60 dB; Settling time < 5ns"
Output Amplifier;Operational Amplifier;Signal Conditioning;LMH6658MAX/NOPB;https://ro.mouser.com/ProductDetail/Texas-Instruments/LMH6658MAX-NOPB?qs=7lkVKPoqpbYvQxLHeSqxGQ%3D%3D;N/A;LMH6624MF/NOPB;https://jlcpcb.com/partdetail/TexasInstruments-LMH6639MFNOPB/C131982;"Bandwidth > 100 MHz; Slew rate > 500 V/Âµs; Output current > 50mA for 50Î© loads; Low noise < 5 nV/âˆšHz"
MCU;Microcontroller;System Control;STM32H743VIT6;https://ro.mouser.com/ProductDetail/STMicroelectronics/STM32H743VIT6?qs=FNcb6ahWXRw0Me5k2ZHgWw%3D%3D;C114409;N/A;N/A;"ARM Cortex-M4/M7; â‰¥100MHz; 256KB Flash; 128KB RAM; USB; SPI; CAN; ADC 12-bit"
Battery Management IC;Power Supply;Clean Analog Power;TPS70933DBVR;https://ro.mouser.com/ProductDetail/Texas-Instruments/TPS70933DBVR?qs=Z9twEOuL%252B%2FJOaGO60BtvLA%3D%3D;C89347;TBD-REG2;#;"3.3V output; Ultra-low noise (<10ÂµV RMS); High PSRR (>80 dB)"
;Power Supply;Digital Logic Power;AP7363-33D-13;https://ro.mouser.com/ProductDetail/Diodes-Incorporated/AP7363-33D-13?qs=wo71MgyKIyHiOg1BWxA5bA%3D%3D;C108723;TBD-REG4;#;"3.3V output; High current capability; Fast transient response"
Voltage Regulator (3v3 Analog);Power Supply;Clean Analog Power;TPSM863252;https://ro.mouser.com/ProductDetail/Texas-Instruments/TPSM863252RDXR?qs=17ckDYBRdem3VGqByrpWcQ%3D%3D;C19190416;TBD-REG6;#;"5V output; Fast transient response"
Voltage Regulator (3v3 Digital);Power Supply;Stable Ref Voltage;REF3333AIDBZR;https://ro.mouser.com/ProductDetail/Texas-Instruments/REF3333AIDBZR?qs=7KoJEllG3D1OY7cEjajdfg%3D%3D;C130016;TBD-REF2;#;"3.3V output; Very high stability (Zener?)"
Voltage Regulator (5V Analog);USB Controller;PC Communication;TBD-USB1;#;;TBD-USB2;#;"USB 2.0 Full Speed; 5V tolerance; ESD protection"
Voltage Reference (3v3);Communication Interface;CAN Bus Interface;TBD-CAN1;#;;TBD-CAN2;#;"CAN 2.0B compatible; 3.3V interface; ISO1050 compliant"
USB Interface;Clock Source;System Timing;TBD-XTAL1;#;;TBD-XTAL2;#;"High stability; Low phase noise; Temperature compensated"
